Pair_ID,Trajectory_1,Trajectory_2,Common_Length_m,K_Skip,K_Overlap,K_Total,Signed_Mean_Unit_Spacing_Error,Skip_Overlap_Difference,Identity_Error,Trajectory_1_E_Folding_m,Trajectory_1_Integral_Scale_m,Trajectory_1_Skewness,Trajectory_1_Excess_Kurtosis,Trajectory_2_E_Folding_m,Trajectory_2_Integral_Scale_m,Trajectory_2_Skewness,Trajectory_2_Excess_Kurtosis,Absolute_Integral_Scale_Difference_m,Absolute_E_Folding_Difference_m,Absolute_Skewness_Difference,Absolute_Excess_Kurtosis_Difference
PAIR_058,C02_P1,C04_P3,274.6,0.4837498101452627,0.48139737720607184,0.9651471873513346,0.002352432939190838,0.0023524329391908516,1.1102230246251565e-16,21.6,17.8504915637117,-0.9132270563780546,0.8671489327109643,13.0,16.52683851621324,-2.865758424412882,9.458655473657435,1.3236530474984605,8.600000000000001,1.9525313680348275,8.59150654094647
PAIR_059,C02_P1,C05_P1,274.6,0.5915743945094258,0.5907348010369834,1.1823091955464091,0.0008395934724423926,0.0008395934724424459,2.220446049250313e-16,21.6,17.8504915637117,-0.9132270563780546,0.8671489327109643,42.6,34.68691617598624,-0.6228101481585432,-0.775297699296114,16.83642461227454,21.0,0.2904169082195114,1.6424466320070783
PAIR_060,C02_P1,C05_P3,274.6,0.5601076030910884,0.5597677428353377,1.1198753459264263,0.0003398602557507104,0.00033986025575072354,2.220446049250313e-16,21.6,17.8504915637117,-0.9132270563780546,0.8671489327109643,25.200000000000003,27.68948238588642,0.5035448259256654,-0.2312441373528706,9.838990822174722,3.6000000000000014,1.41677188230372,1.098393070063835
PAIR_061,C02_P1,C06_P1,274.6,0.5439700616475077,0.5433006109535412,1.0872706726010488,0.0006694506939663727,0.0006694506939665112,0.0,21.6,17.8504915637117,-0.9132270563780546,0.8671489327109643,13.2,11.262902816490314,-0.635977440877002,0.5787995669611563,6.587588747221385,8.400000000000002,0.27724961550105254,0.28834936574980796
PAIR_062,C02_P1,C06_P3,274.6,0.5252580468774872,0.5227130581682112,1.0479711050456986,0.0025449887092759763,0.002544988709275997,2.220446049250313e-16,21.6,17.8504915637117,-0.9132270563780546,0.8671489327109643,9.6,10.635109379037832,-3.4914778328284672,12.691193603637164,7.215382184673867,12.000000000000002,2.5782507764504126,11.824044670926199
PAIR_063,C02_P1,C07_P1,274.6,0.6657793544235829,0.6641800690331747,1.3299594234567576,0.0015992853904081275,0.0015992853904082116,2.220446049250313e-16,21.6,17.8504915637117,-0.9132270563780546,0.8671489327109643,49.8,37.58662227262414,-0.2600865881882627,-0.8753203793931483,19.73613070891244,28.199999999999996,0.6531404681897919,1.7424693121041126
PAIR_064,C02_P1,C07_P3,274.6,0.5242132602834222,0.5230162995040312,1.0472295597874532,0.0011969607793910284,0.0011969607793910209,2.220446049250313e-16,21.6,17.8504915637117,-0.9132270563780546,0.8671489327109643,15.6,12.815269433811183,-2.0666673939712457,4.039239853097321,5.035222129900516,6.000000000000002,1.153440337593191,3.1720909203863568
PAIR_065,C02_P1,C08_P1,274.6,0.7347591081498321,0.73369599990269,1.468455108052522,0.0010631082471422052,0.0010631082471421749,0.0,21.6,17.8504915637117,-0.9132270563780546,0.8671489327109643,55.0,43.64177917237282,0.4474869847156655,-1.5132456321012109,25.791287608661122,33.4,1.3607140410937202,2.380394564812175
PAIR_066,C02_P1,C08_P3,274.6,0.42083079259305567,0.41989406114865246,0.8407248537417081,0.0009367314444032038,0.0009367314444032049,0.0,21.6,17.8504915637117,-0.9132270563780546,0.8671489327109643,58.0,45.85047296627704,-0.4222655496919911,-1.1309064867678158,27.99998140256534,36.4,0.4909615066860635,1.99805541947878
PAIR_067,C02_P1,C09_P1,274.6,0.502557021769433,0.5018253157121306,1.0043823374815635,0.0007317060573022393,0.0007317060573023282,2.220446049250313e-16,21.6,17.8504915637117,-0.9132270563780546,0.8671489327109643,15.4,12.550907870531372,0.156160652420342,-0.6233552161392946,5.2995836931803275,6.200000000000001,1.0693877087983965,1.4905041488502588
PAIR_068,C02_P1,C09_P3,274.6,0.6170729297058724,0.6163710146661976,1.23344394437207,0.0007019150396747244,0.0007019150396747609,0.0,21.6,17.8504915637117,-0.9132270563780546,0.8671489327109643,47.400000000000006,41.47733192433871,-0.3275517866135125,-0.5413467672186711,23.626840360627014,25.800000000000004,0.5856752697645421,1.4084956999296354
PAIR_069,C02_P1,C10_P1,274.6,0.6451279635016374,0.6444834270960563,1.2896113905976936,0.0006445364055810453,0.0006445364055810421,0.0,21.6,17.8504915637117,-0.9132270563780546,0.8671489327109643,61.400000000000006,48.04839655672359,0.0501482353316684,-1.2884630317235377,30.19790499301189,39.800000000000004,0.9633752917097229,2.155611964434502
PAIR_070,C02_P1,C10_P3,274.0,0.46186265470951665,0.45606660209203387,0.9179292568015506,0.005796052617482722,0.005796052617482783,1.1102230246251565e-16,21.6,17.8504915637117,-0.9132270563780546,0.8671489327109643,6.0,5.073903478101762,-0.0386797035986008,-0.441965691405108,12.776588085609937,15.600000000000001,0.8745473527794537,1.3091146241160723
