Number_of_Passes_M,Common_Internal_Coefficient,Common_Boundary_Coefficient,Common_Total_Coefficient,Empirical_Internal_Coefficient,Empirical_Boundary_Coefficient,Empirical_Total_Coefficient,Relative_Total_Coefficient_Difference,Independent_SD_Slope_per_eta,Perfectly_Shared_SD_Slope_per_eta,Common_eta_max_per_unit_q,Empirical_eta_max_per_unit_q,Common_Rmax_over_Wq,Empirical_Rmax_over_Wq
30,1.091042623765468,0.026604668732001464,1.1176472924974694,1.0851109658551172,0.026568274341162885,1.11167924019628,-0.005339835153050188,0.03697786411139648,0.19913189245569435,0.894736655036691,0.8995400506205713,0.894736655036691,0.8995400506205713
31,1.0922562418119257,0.02574645361161432,1.11800269542354,1.0863179858393832,0.025711233233383438,1.1120292190727668,-0.005342989221068298,0.036396784010014435,0.19935339622928244,0.8944522263617295,0.8992569465340317,0.8944522263617295,0.8992569465340317
32,1.0933940087304796,0.024941876936251373,1.118335885666731,1.0874495670746325,0.024907757194840206,1.1123573242694726,-0.005345944339158864,0.035842223738719245,0.1995610560170213,0.8941857386645683,0.8989916982447507,0.8941857386645683,0.8989916982447507
33,1.0944628200782123,0.024186062483637694,1.11864888256185,1.0885125676289578,0.02415297667378444,1.1126655443027422,-0.0053487187556162125,0.03531222859082929,0.199756130363079,0.893935546343971,0.8987426681093601,0.893935546343971,0.8987426681093601
34,1.095468760170196,0.023474707704707175,1.1189434678749033,1.0895130387389107,0.02344259500690843,1.112955633745819,-0.0053513285532255745,0.03480503948687859,0.19993972974760385,0.8937001990808341,0.8985084128055941,0.8937001990808341,0.8985084128055941
35,1.096417217971209,0.02280400177028697,1.1192212197414961,1.0904563400711522,0.022772806578139616,1.1132291466492918,-0.005353787961229203,0.03431906854104418,0.20011283773872732,0.893478413705351,0.8982876553402324,0.893478413705351,0.8982876553402324
36,1.097312983672166,0.022170557276667887,1.119483540948834,1.0913472357738248,0.02214022861763574,1.1134874643914605,-0.005356109614877752,0.03385287825079024,0.2002763286192328,0.8932690507914355,0.898079261760272,0.8932690507914355,0.898079261760272
37,1.0981603296055036,0.021571353025947135,1.1197316826314507,1.0921899749520285,0.02154184406040234,1.1137318190124308,-0.005358304772550354,0.03340516369247436,0.20043098215484614,0.8930710950769272,0.8978822216704923,0.8930710950769272,0.8978822216704923
38,1.098963078384455,0.021003685841053787,1.119966764225509,1.0929883594366425,0.020974953427233857,1.1139633128638764,-0.005360383498330028,0.03297473722368981,0.20057749603069033,0.8928836389993505,0.8976956318508468,0.8928836389993505,0.8976956318508468
39,1.0997246605593576,0.02046512979384728,1.1201897903532048,1.0937458011271737,0.020437134108586837,1.1141829352357606,-0.0053623548162763865,0.03256051528624919,0.20071649637443992,0.8927058687837996,0.8975186824131357,0.8927058687837996,0.8975186824131357
40,1.100448163625515,0.0199535015490011,1.1204016651745161,1.0944653707331784,0.019926205755872166,1.1143915764890506,-0.005364226841388479,0.03216150697766628,0.20084854670100205,0.8925370526330286,0.8973506450493396,0.8925370526330286,0.8973506450493396
41,1.101136373859177,0.019466830779513267,1.1206032046386902,1.0951498393827928,0.01944020073743626,1.114590040120229,-0.00536600689126167,0.031776804118067006,0.20097415554821968,0.8923765306582577,0.8971908630119568,0.8923765306582577,0.8971908630119568
42,1.1017918121769503,0.019003334808572477,1.1207951469855228,1.0958017142871872,0.018977338815116346,1.1147790531023036,-0.00536770158168514,0.0314055725869194,0.2010937830217603,0.8922237062585326,0.8970387425356742,0.8922237062585326,0.8970387425356742
43,1.1024167649915713,0.018561396789768463,1.1209781617813397,1.0964232694285867,0.018536005354299688,1.1149592747828865,-0.005369316908804568,0.03104704474230783,0.20120784642676412,0.8920780387112145,0.8968937454641361,0.8920780387112145,0.8968937454641361
44,1.1030133108600733,0.01813954686272827,1.1211528577228016,1.097016572063559,0.01811473250533833,1.1151313045688973,-0.005370858320010708,0.030700512766601875,0.20131672513154053,0.8919390367796254,0.8967553828888282,0.8919390367796254,0.8967553828888282
45,1.103583343578864,0.01773644582133431,1.1213197894001983,1.0975835056925323,0.01771218289410859,1.115295688586641,-0.005372330775308659,0.030365322807767416,0.2014207647827713,0.8918062531785932,0.8966232096416068,0.8918062531785932,0.8966232096416068
46,1.104128592266403,0.017350870912174868,1.1214794631785778,1.0981257900332895,0.017327135439888838,1.1154529254731782,-0.0053737388006364194,0.030040869806386736,0.20152028097090507,0.8916792797665042,0.896496819510153,0.8916792797665042,0.896496819510153
47,1.1046506388821318,0.016981703445958382,1.12163234232809,1.0986449984446527,0.016958472983720992,1.1156034714283736,-0.00537508653432978,0.029726592915599388,0.2016155624276289,0.8915577433549868,0.8963758410680099,0.8915577433549868,0.8963758410680099
48,1.1051509335555385,0.016627917957500914,1.1217788515130394,1.099142573172209,0.016605171463226803,1.1157477446354358,-0.005376377767747077,0.029421971435354455,0.2017068738236559,0.8914413020455986,0.8962599340290347,0.8914413020455986,0.8962599340290347
49,1.105630808038194,0.016288572693062123,1.1219193807312562,1.0996198387272123,0.01626629041295687,1.1158861291401692,-0.005377615980886804,0.02912652119413969,0.20179445822392672,0.89132964201778,0.8961487860508996,0.89132964201778,0.8961487860508996
50,1.1060914875415433,0.01596280123920088,1.122054288780744,1.1000780136600152,0.01594096460469773,1.116018978264713,-0.005378804373707498,0.02883979132116953,0.2018785392481867,0.8912224747045245,0.8960421099244121,0.8912224747045245,0.8960421099244121
51,1.106534101182016,0.01564980513647145,1.1221839063184875,1.1005182209483946,0.015628396671272287,1.1161466176196668,-0.005379945893741281,0.02856136136022957,0.20195932297737762,0.8911195343022408,0.8959396410953919,0.8911195343022408,0.8959396410953919
52,1.1069596912209323,0.01534884734538546,1.1223085385663178,1.100941497187221,0.015327850581440126,1.116269347768661,-0.005381043260502694,0.0282908386832752,0.20203699964006122,0.8910205755695669,0.8958411354740908,0.8910205755695669,0.8958411354740908
53,1.1073692212583799,0.0150592464520763,1.1224284677104561,1.1013488007377896,0.015038645853488426,1.116387446591278,-0.005382098987119151,0.028027856167697592,0.2021117451079266,0.89092537187676,0.8957463674939649,0.89092537187676,0.8957463674939649
54,1.1077635835166628,0.014780371517778591,1.1225439550344414,1.1017410189716708,0.014760152411757158,1.1165011713834279,-0.005383115399546306,0.027772070106088988,0.20218372222513029,0.8908337134730002,0.8956551283873045,0.8908337134730002,0.8956551283873045
55,1.10814360532919,0.014511637490182618,1.1226552428193726,1.1021189747243196,0.014491786004270665,1.1166107607285902,-0.005384094653673531,0.0275231583215112,0.20225308199261746,0.8907454059437311,0.8955672246499743,0.8907454059437311,0.8955672246499743
56,1.108510054934127,0.014252501106429356,1.1227625560405563,1.102483432057231,0.014233004111337261,1.1167164361685682,-0.00538503875058843,0.02728081846482297,0.20231996462555152,0.8906602688341506,0.8954824766714996,0.8906602688341506,0.8954824766714996
57,1.1088636466581887,0.014002457227369192,1.1228661038855579,1.1028351014135491,0.013983302284822571,1.1168184036983717,-0.005385949550225736,0.02704476647365237,0.20238450049943527,0.8905781344183489,0.8954007175100941,0.8905781344183489,0.8954007175100941
58,1.1092050455641795,0.01376103555103524,1.1229660811152147,1.103174644240339,0.013742210866118734,1.1169168551064577,-0.0053868287835991836,0.02681473517519559,0.2024468109983575,0.8904988465964195,0.8953217917950447,0.8904988465964195,0.8953217917950447
59,1.1095348716258997,0.013527797660339728,1.1230626692862393,1.1035026771407972,0.013509292037879433,1.1170119691786766,-0.005387678063779124,0.02659047301725063,0.20250700927697732,0.8904222599042922,0.8952455547412675,0.8904222599042922,0.8952455547412675
60,1.109853703485562,0.013302334366000732,1.1231560378515628,1.1038197756112398,0.013284137170581443,1.1171039127818212,-0.005388498895770949,0.026371742913811818,0.20256520094630975,0.8903482386230654,0.8951718712628908,0.8903482386230654,0.8951718712628908
61,1.1101620818416293,0.013084263310820392,1.1232463451524497,1.1041264774105206,0.013066364430080107,1.1171928418406007,-0.005389292685414752,0.026158321193205332,0.20262148469205757,0.8902766559763678,0.8951006151744377,0.8902766559763678,0.8951006151744377
62,1.110460512508791,0.01287322680580716,1.1233337393145981,1.1044232856033729,0.012855616616691719,1.1172789022200647,-0.00539006074742118,0.0259499966381774,0.20267595283310383,0.8902073934057654,0.8950316684696827,0.8902073934057654,0.8950316684696827
63,1.110749469186519,0.01266888987238165,1.1234183590589006,1.1047106713139123,0.012651559210077564,1.1173622305239899,-0.005390804312637421,0.02574656960858802,0.20272869182681524,0.8901403399154972,0.8949649206695016,0.8901403399154972,0.8949649206695016
64,1.1110293959680682,0.012470938468125687,1.1235003344361938,1.1049890762209975,0.012453878597420103,1.1174429548184177,-0.005391524534628516,0.025547851238442013,0.20277978272697322,0.8900753914789264,0.8949002682311403,0.8900753914789264,0.8949002682311403
65,1.111300709617877,0.012279077876308369,1.1235797874941855,1.1052589148232494,0.012262280465152101,1.1175211952884017,-0.005392222495650062,0.025353662699929256,0.20282930159943405,0.8900124505000273,0.894837614012258,0.8900124505000273,0.894837614012258
66,1.1115638016419345,0.012093031241818847,1.1236568328837533,1.1055205764981602,0.01207648833689222,1.1175970648350524,-0.005392899212074479,0.025163834527966694,0.20287731990000207,0.8899514253240464,0.8947768667839078,0.8899514253240464,0.8947768667839078
67,1.1118190401727361,0.01191253823820961,1.1237315784109458,1.1057744273768049,0.01189624224231174,1.1176706696191165,-0.00539355563932799,0.02497820599945289,0.20292390481846362,0.8898922297921777,0.8947179407873191,0.8898922297921777,0.8947179407873191
68,1.1120667716879262,0.011737353852353588,1.1238041255402798,1.1060208120531367,0.011721297503454214,1.117742109556591,-0.005394192676392299,0.024796624562075424,0.20296911959226455,0.8898347828357013,0.8946607553299577,0.8898347828357013,0.8946607553299577
69,1.1123073225794875,0.011567247274783246,1.1238745698542707,1.1062600551446473,0.011551423626592559,1.1178114787712399,-0.005394811169912855,0.024618945308064896,0.20301302379291178,0.8897790081055637,0.8946052344168582,0.8897790081055637,0.8946052344168582
70,1.1125410005884329,0.011402000885143485,1.1239430014735763,1.1064924627192574,0.011386403289069808,1.1178788660083272,-0.005395411917951833,0.024445030488775957,0.20305567358782628,0.8897248336338431,0.894551306413687,0.8897248336338431,0.894551306413687
71,1.112768096118253,0.011241409323380901,1.1240095054416337,1.1067183236016251,0.011226031411758966,1.117944355013384,-0.005395995673423214,0.024274749066405327,0.2030971219800671,0.8896721915239416,0.8944989037383958,0.8896721915239416,0.8944989037383958
72,1.1129888834389112,0.011085278638333943,1.1240741620772452,1.1069379105705937,0.01107011430881787,1.1180080248794115,-0.005396563147242598,0.024107976299536323,0.20313741902807902,0.8896210176666982,0.8944479625786765,0.8896210176666982,0.8944479625786765
73,1.1132036217918804,0.010933425506301973,1.1241370472981824,1.1071514814582206,0.010918468907327214,1.1180699503655478,-0.005397115011213847,0.023944593359534926,0.20317661204737825,0.8895712514799323,0.8943984226327294,0.8895712514799323,0.8943984226327294
74,1.1134125564055801,0.010785676512973567,1.1241982329185536,1.1073592801596954,0.01077092203020117,1.1181302021898967,-0.005397651900682657,0.023784486975120506,0.20321474579588567,0.8895228356691861,0.8943502268711331,0.8895228356691861,0.8943502268711331
75,1.1136159194295812,0.010641867492800586,1.1242577869223818,1.1075615375624643,0.010627309736465154,1.1181888472989294,-0.005398174416977676,0.023627549102698406,0.20325186264443285,0.8894757160076843,0.8943033213178404,0.8894757160076843,0.8943033213178404
76,1.1138139307950556,0.010501842920526893,1.1243157737155824,1.1077584724020024,0.010487476713616928,1.1182459491156194,-0.005398683129654784,0.023473676620277058,0.20328800273380773,0.8894298411337325,0.8942576548485278,0.8894298411337325,0.8942576548485278
77,1.1140067990081803,0.010365455350130441,1.1243722543583108,1.1079502920509032,0.010351275717336189,1.1183015677682395,-0.005399178578571254,0.023322771043001733,0.20332320411956253,0.8893851623639618,0.8942131790047202,0.8893851623639618,0.8942131790047202
78,1.114194721882507,0.01023256489692364,1.1244272867794307,1.1081371932472681,0.010218567054293418,1.1183557603015615,-0.005399661275794205,0.023174738258524084,0.20335750290568255,0.8893416335209957,0.8941698478222644,0.8893416335209957,0.8941698478222644
79,1.1143778872157115,0.010103038758987899,1.1244809259746995,1.1083193627677757,0.010089218104239071,1.1184085808720148,-0.005400131707366421,0.023029488280593716,0.20339093336810335,0.8892992107742517,0.894127617672879,0.8892992107742517,0.894127617672879
80,1.1145564734155857,0.00997675077450055,1.1245332241900863,1.1084969780502705,0.009963102877936083,1.1184600809282066,-0.005400590334939815,0.02288693501940764,0.20342352806896363,0.8892578524927284,0.8940864471176325,0.8892578524927284,0.8940864471176325
81,1.1147306500796605,0.009853581011852394,1.1245842310915128,1.1086702077702346,0.009840101607838107,1.1185103093780728,-0.005401037597285807,0.02274699606738749,0.20345531796239524,0.8892175191087356,0.8940462967713115,0.8892175191087356,0.8940462967713115
82,1.1149005785324166,0.009733415389756634,1.1246339939221732,1.1088392123750777,0.00972010036871813,1.1185593127437958,-0.005401473911696265,0.022609592499174717,0.20348633249257245,0.8891781729916318,0.8940071291767505,0.8891781729916318,0.8940071291767505
83,1.1150664123236604,0.009616145324819806,1.1246825576484802,1.109004144579804,0.009602990725721525,1.1186071353055256,-0.005401899675280228,0.022474648684742082,0.20351659968467306,0.8891397783307228,0.8939689086882765,0.8891397783307228,0.8939689086882765
84,1.1152282976913035,0.009501667404286238,1.1247299650955898,1.109165149827275,0.009488669407558173,1.1186538192348332,-0.005402315266171599,0.02234209211461711,0.20354614622934275,0.8891023010265499,0.8939316013635092,0.8891023010265499,0.8939316013635092
85,1.1153863739914722,0.00938988308188287,1.124776257073355,1.109322366715982,0.009377038002763372,1.1186994047187453,-0.005402721044647224,0.022211853236300812,0.20357499756119665,0.8890657085898841,0.8938951748628241,0.8890657085898841,0.8938951748628241
86,1.1155407740986139,0.009280698394884232,1.1248214724934982,1.1094759273979746,0.009268002677149844,1.1187439300751245,-0.005403117354170877,0.022083865301044187,0.20360317793184465,0.889029970047785,0.8938595983558536,0.889029970047785,0.8938595983558536
87,1.1156916247780053,0.00917402370069016,1.1248656484786954,1.1096259579493468,0.009161473910745822,1.1187874318600926,-0.005403504522360726,0.02195806422021627,0.20363071047788006,0.8889950558561658,0.8938248424344588,0.8889950558561658,0.8938248424344588
88,1.115839047032865,0.009069773431364135,1.124908820464229,1.1097725787154606,0.009057366252669166,1.1188299449681298,-0.0054038828618932526,0.02183438843056244,0.20365761728423284,0.8889609378183367,0.8937908790316523,0.8889609378183367,0.8937908790316523
89,1.1159831564280647,0.008967865864719595,1.1249510222927843,1.1099159046328977,0.008955598092526815,1.1188715027254246,-0.005404252671346493,0.021712778767709873,0.20368391944325187,0.8889275890090581,0.8937576813460087,0.8889275890090581,0.8937576813460087
90,1.1161240633922602,0.008868222910667155,1.1249922863029274,1.1100560455299475,0.008856091447054295,1.1189121369770019,-0.005404614235984443,0.021593178347330405,0.20370963710984824,0.8888949837036744,0.8937252237711262,0.8888949837036744,0.8937252237711262
91,1.1162618735000998,0.008770769911648834,1.1250326434117486,1.1101931064072816,0.00875877176082293,1.1189518781681045,-0.005404967828492249,0.02147553245341891,0.20373478955300295,0.8888630973119345,0.8936934818297576,0.8888630973119345,0.8936934818297576
92,1.1163966877360296,0.008675435456087434,1.125072123192117,1.110327187700326,0.008663567719944419,1.1189907554202705,-0.005405313709659912,0.021359788433189298,0.20375939520391512,0.8888319063161432,0.8936624321122475,0.8888319063161432,0.8936624321122475
93,1.1165286027410795,0.00858215120387144,1.125110753944951,1.1104583855247028,0.00857041107779448,1.1190287966024972,-0.005405652129027054,0.021245895598129862,0.20378347170104427,0.8888013882133133,0.8936320522189576,0.8888013882133133,0.8936320522189576
94,1.1166577110438942,0.008490851722979191,1.1251485627668734,1.1105867919060077,0.008479236491860496,1.1190660283978682,-0.005405983325479718,0.02113380513079594,0.20380703593227706,0.8887715214610253,0.893602320706374,0.8887715214610253,0.893602320706374
95,1.1167841012771758,0.008401474336421515,1.1251855756135973,1.1107124949950744,0.008389981370893543,1.119102476365968,-0.00540630752781557,0.021023469996950945,0.20383010407443122,0.888742285426713,0.8935732170366324,0.888742285426713,0.8935732170366324
96,1.1169078583805976,0.008313958978750457,1.125221817359348,1.110835579269786,0.008302585731613401,1.1191381650013994,-0.005406624955269375,0.020914844862696857,0.20385269163029054,0.8887136603401306,0.8935447215302049,0.8887136603401306,0.8935447215302049
97,1.1170290637911653,0.008228248061443752,1.125257311852609,1.1109561257244,0.008216992064277182,1.1191731177886772,-0.005406935818008464,0.02080788601626276,0.20387481346334865,0.8886856272487694,0.8935168153215243,0.8886856272487694,0.8935168153215243
98,1.1171477956219253,0.008144286346531061,1.1252920819684564,1.1110742120472874,0.008133145206478435,1.1192073572537657,-0.005407240317595379,0.020702551294145194,0.20389648383042594,0.8886581679760113,0.8934894803173304,0.8886581679760113,0.8934894803173304
99,1.1172641288298417,0.008062020827879232,1.125326149657721,1.1111899127878944,0.008050992224594813,1.1192409050124892,-0.00540753864742469,0.020598800011317083,0.2039177164123098,0.8886312650818253,0.8934626991575522,0.8886312650818253,0.8934626991575522
100,1.1173781353735999,0.00798140061960044,1.1253595359932003,1.111303299513689,0.007970482302348866,1.1192737818160376,-0.005407830993133725,0.020496592895243006,0.20393852434255594,0.8886049018258306,0.8934364551785406,0.8886049018258306,0.8934364551785406
